mapFilename;taskFilename;step_size;row_size;col_size;num_bots;num_endpoints;last_step;num_tasks;token_id;token_name;current_step;energy system id;energy expenditure;finished_taskstime(s)
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-2.task;10000;21;35;10;312;250;500;GAT;GAT(collision);1845;E_1(R_1);18450;5006170.734984
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-2.task;10000;21;35;10;312;250;500;GAT_P;GAT_P(Greedy);1996;E_1(R_1);19960;5009.465231
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-2.task;10000;21;35;10;312;250;500;GAT_P;GAT_P(count);2094;E_1(R_1);20940;5006990.264184
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-2.task;10000;21;35;10;312;250;500;GAT_P;GAT_P(check);1851;E_1(R_1);18510;5006483.979905
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-2.task;10000;21;35;10;312;250;500;GAT_P;GAT_P(collision);1821;E_1(R_1);18210;5006332.852236
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-2.task;10000;21;35;10;312;250;500;TP;TP[E_1(R_1)];1807;E_1(R_1);18070;5000.406466
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-5.task;10000;21;35;10;312;100;500;GAT;GAT(Greedy);1821;E_1(R_1);18210;5005.055036
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-5.task;10000;21;35;10;312;100;500;GAT;GAT(count);1850;E_1(R_1);18500;5003187.509519
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-5.task;10000;21;35;10;312;100;500;GAT;GAT(check);1813;E_1(R_1);18130;5003062.423507
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-5.task;10000;21;35;10;312;100;500;GAT;GAT(collision);1730;E_1(R_1);17300;5003044.001710
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-5.task;10000;21;35;10;312;100;500;GAT_P;GAT_P(Greedy);1891;E_1(R_1);18910;5005.317312
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-5.task;10000;21;35;10;312;100;500;GAT_P;GAT_P(count);1745;E_1(R_1);17450;5003251.803084
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-5.task;10000;21;35;10;312;100;500;GAT_P;GAT_P(check);1851;E_1(R_1);18510;5003132.359212
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-5.task;10000;21;35;10;312;100;500;GAT_P;GAT_P(collision);1848;E_1(R_1);18480;5003135.584493
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-5.task;10000;21;35;10;312;100;500;TP;TP[E_1(R_1)];1772;E_1(R_1);17720;5000.419729
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-10.task;10000;21;35;10;312;50;500;GAT;GAT(Greedy);1821;E_1(R_1);18210;5002.896828
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-10.task;10000;21;35;10;312;50;500;GAT;GAT(count);2034;E_1(R_1);20340;5001701.841617
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-10.task;10000;21;35;10;312;50;500;GAT;GAT(check);1779;E_1(R_1);17790;5001655.875866
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-10.task;10000;21;35;10;312;50;500;GAT;GAT(collision);1717;E_1(R_1);17170;5001654.703614
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-10.task;10000;21;35;10;312;50;500;GAT_P;GAT_P(Greedy);1897;E_1(R_1);18970;5003.084618
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-10.task;10000;21;35;10;312;50;500;GAT_P;GAT_P(count);2199;E_1(R_1);21990;5001945.923643
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-10.task;10000;21;35;10;312;50;500;GAT_P;GAT_P(check);1824;E_1(R_1);18240;5001871.256139
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-10.task;10000;21;35;10;312;50;500;GAT_P;GAT_P(collision);1814;E_1(R_1);18140;5001933.563984
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-10.task;10000;21;35;10;312;50;500;TP;TP[E_1(R_1)];1762;E_1(R_1);17620;5000.421369
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-500.task;10000;21;35;10;312;1;500;GAT;GAT(Greedy);1709;E_1(R_1);17090;5000.438402
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-500.task;10000;21;35;10;312;1;500;GAT;GAT(count);1709;E_1(R_1);17090;500105.544143
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-500.task;10000;21;35;10;312;1;500;GAT;GAT(check);1709;E_1(R_1);17090;500108.876236
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-500.task;10000;21;35;10;312;1;500;GAT;GAT(collision);1709;E_1(R_1);17090;500110.977533
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-500.task;10000;21;35;10;312;1;500;GAT_P;GAT_P(Greedy);1709;E_1(R_1);17090;5000.464705
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-500.task;10000;21;35;10;312;1;500;GAT_P;GAT_P(count);2144;E_1(R_1);21440;500106.082611
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-500.task;10000;21;35;10;312;1;500;GAT_P;GAT_P(check);1709;E_1(R_1);17090;500105.067188
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-500.task;10000;21;35;10;312;1;500;GAT_P;GAT_P(collision);1709;E_1(R_1);17090;500105.963590
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-500.task;10000;21;35;10;312;1;500;TP;TP[E_1(R_1)];1743;E_1(R_1);17430;5000.437997
