mapFilename;taskFilename;step_size;row_size;col_size;num_bots;num_endpoints;last_step;num_tasks;token_id;token_name;current_step;energy system id;energy expenditure;finished_taskstime(s)
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.2.task;10000;21;35;10;312;2496;500;GAT;GAT(Greedy);2577;E_1(R_1);25770;5000.499551
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.2.task;10000;21;35;10;312;2496;500;GAT;GAT(count);2632;E_1(R_1);26320;500246.289386
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.2.task;10000;21;35;10;312;2496;500;GAT;GAT(check);2644;E_1(R_1);26440;500228.587448
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.2.task;10000;21;35;10;312;2496;500;GAT;GAT(collision);2579;E_1(R_1);25790;500130.404334
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.2.task;10000;21;35;10;312;2496;500;GAT_P;GAT_P(Greedy);2618;E_1(R_1);26180;5000.261663
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.2.task;10000;21;35;10;312;2496;500;GAT_P;GAT_P(count);2582;E_1(R_1);25820;50064.963583
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.2.task;10000;21;35;10;312;2496;500;GAT_P;GAT_P(check);2632;E_1(R_1);26320;50056.188859
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.2.task;10000;21;35;10;312;2496;500;GAT_P;GAT_P(collision);2587;E_1(R_1);25870;50048.487743
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.2.task;10000;21;35;10;312;2496;500;TP;TP[E_1(R_1)];2575;E_1(R_1);25750;5000.307079
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.5.task;10000;21;35;10;312;999;500;GAT;GAT(Greedy);1802;E_1(R_1);18020;5002.079398
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.5.task;10000;21;35;10;312;999;500;GAT;GAT(count);1949;E_1(R_1);19490;5004126.571045
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.5.task;10000;21;35;10;312;999;500;GAT;GAT(check);1850;E_1(R_1);18500;5003662.760221
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.5.task;10000;21;35;10;312;999;500;GAT;GAT(collision);1914;E_1(R_1);19140;5003158.780449
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.5.task;10000;21;35;10;312;999;500;GAT_P;GAT_P(Greedy);1861;E_1(R_1);18610;5001.882688
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.5.task;10000;21;35;10;312;999;500;GAT_P;GAT_P(count);2438;E_1(R_1);24380;5005557.169650
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.5.task;10000;21;35;10;312;999;500;GAT_P;GAT_P(check);1975;E_1(R_1);19750;5004361.256659
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.5.task;10000;21;35;10;312;999;500;GAT_P;GAT_P(collision);1985;E_1(R_1);19850;5003605.455505
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-0.5.task;10000;21;35;10;312;999;500;TP;TP[E_1(R_1)];1904;E_1(R_1);19040;5000.273422
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-1.task;10000;21;35;10;312;500;500;GAT;GAT(Greedy);1819;E_1(R_1);18190;5009.382342
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-1.task;10000;21;35;10;312;500;500;GAT;GAT(count);1930;E_1(R_1);19300;5009083.490963
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-1.task;10000;21;35;10;312;500;500;GAT;GAT(check);1814;E_1(R_1);18140;5008435.642668
./Instances/small_closed/kiva-10-500-5.map;./Instances/small_closed/kiva-1.task;10000;21;35;10;312;500;500;GAT;GAT(collision);1811;E_1(R_1);18110;5008309.795364
