;;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
Frenq.;Agentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.5;40;120252.0;120252.0;120036.0;120252.0;120252.0;120116.0;124950.0;130457.0;130788.0;130415.0;114608.0;130324.0;109380.0;109513.0;109386.0;110268.0;109363.0;120116.0;119208.0;119208.0;121106.0;120216.0;120216.0;120116.0;120478.0;1082.0;1074.0;1095.0;1082.0;1074.0;1078.0;1092.0;1065.0;1067.5;1068.0;1081.0;1066.5;1049.0;1046.0;1049.0;1079.0;1051.0;1078.0;1072.0;1072.0;1094.0;1097.0;1097.0;1078.0;1097.0;0.146;0.173;0.171;0.161;0.23;0.16;0.244;20.309;45.353;20.171;0.204;29.289;6.392;12.091;10.964;0.094;13.992;0.261;0.134;0.187;0.156;0.203;0.123;0.207;0.197
0.5;50;131536.0;131794.0;130020.0;131536.0;131794.0;131254.0;134796.0;145135.0;145029.0;143753.0;127312.0;144765.0;119659.0;119876.0;119544.0;123196.0;119941.0;131254.0;131708.0;132618.0;132704.0;131904.0;132618.0;131254.0;132412.0;1070.0;1076.0;1066.0;1070.0;1076.0;1074.0;1085.0;1064.0;1069.5;1068.0;1092.0;1066.0;1046.0;1045.5;1039.0;1112.0;1048.5;1074.0;1087.0;1093.0;1092.0;1079.0;1093.0;1074.0;1095.0;0.179;0.18;0.156;0.18;0.19;0.15;0.341;23.368;44.772;23.49;0.225;32.724;8.212;21.842;8.908;0.098;13.46;0.245;0.277;0.181;0.289;0.182;0.294;0.224;0.257
1;10;72394.0;72202.0;71964.0;72394.0;72202.0;72406.0;73010.0;71543.0;71450.0;71407.0;71564.0;71452.0;71881.0;71797.0;71807.0;71386.0;71839.0;72406.0;72200.0;71700.0;71234.0;71080.0;70866.0;72406.0;70234.0;1214.0;1214.0;1190.0;1214.0;1214.0;1214.0;1249.0;1208.0;1209.0;1202.5;1222.0;1202.5;1230.0;1228.0;1218.0;1209.0;1222.5;1214.0;1205.0;1183.0;1166.0;1152.0;1158.0;1214.0;1162.0;0.168;0.168;0.167;0.168;0.169;0.167;0.161;36.302;81.393;46.163;5.269;48.36;53.69;104.047;52.943;5.775;66.686;0.118;0.182;0.21;0.196;0.23;0.18;0.166;0.179
1;20;77156.0;78222.0;78450.0;77156.0;78222.0;77958.0;80342.0;77811.0;77772.0;77893.0;77780.0;77624.0;78619.0;78422.0;78373.0;76950.0;78389.0;77958.0;77552.0;75924.0;77262.0;75186.0;75526.0;77958.0;75990.0;713.0;715.0;752.0;713.0;715.0;741.0;770.0;717.0;717.5;718.5;747.0;711.5;736.5;733.0;729.5;702.0;734.0;741.0;723.0;673.0;718.0;652.0;673.0;741.0;717.0;0.115;0.139;0.145;0.113;0.142;0.129;0.184;47.608;134.694;40.795;0.366;68.649;66.349;174.346;65.54;0.429;66.538;0.128;0.138;0.155;0.167;0.176;0.181;0.13;0.522
1;30;86286.0;87770.0;86708.0;86286.0;87770.0;86402.0;97378.0;87864.0;88078.0;87726.0;86374.0;87835.0;87245.0;87402.0;87458.0;83956.0;87170.0;86402.0;87292.0;87130.0;87110.0;86588.0;86690.0;86402.0;87506.0;594.0;605.0;598.0;594.0;605.0;588.0;765.0;598.5;601.0;600.5;583.0;595.0;597.5;602.5;599.5;577.0;602.0;588.0;599.0;602.0;594.0;592.0;590.0;588.0;608.0;0.173;0.11;0.117;0.193;0.168;0.146;0.371;59.916;119.79;38.867;0.322;49.276;48.464;93.536;47.99;0.101;58.782;0.139;0.199;0.191;0.244;0.269;0.503;0.148;1.28
1;40;101366.0;104086.0;100890.0;101366.0;104086.0;100850.0;106828.0;100960.0;100676.0;101023.0;94130.0;100818.0;94786.0;94327.0;94872.0;90638.0;94918.0;100850.0;101886.0;101322.0;102320.0;101412.0;101042.0;100850.0;100216.0;612.0;662.0;610.0;612.0;662.0;614.0;691.0;582.0;579.5;580.0;584.0;583.5;578.0;577.0;578.0;598.0;583.5;614.0;624.0;595.0;614.0;595.0;603.0;614.0;596.0;0.262;0.365;0.334;0.259;0.365;0.323;0.388;48.563;112.125;56.565;0.483;49.561;14.785;37.012;23.968;0.128;26.776;0.201;0.368;0.483;0.441;0.737;0.75;0.321;1.399
1;50;110476.0;111356.0;110958.0;110476.0;111356.0;110638.0;117494.0;113279.0;113253.0;113605.0;100316.0;113395.0;100540.0;100557.0;99879.0;97188.0;99622.0;110638.0;109810.0;109538.0;110160.0;112262.0;111810.0;110638.0;109946.0;614.0;632.0;626.0;614.0;632.0;624.0;725.0;580.0;579.0;578.5;583.0;581.0;577.0;582.5;572.0;585.0;570.5;624.0;597.0;592.0;614.0;626.0;614.0;624.0;599.0;0.408;0.475;0.391;0.408;0.468;0.391;0.395;63.538;143.856;40.942;0.351;58.322;17.705;21.77;16.945;0.139;24.684;0.363;0.341;0.369;0.249;0.45;0.418;0.375;0.332
10;10;71054.0;70814.0;71184.0;71054.0;70814.0;71022.0;72136.0;70666.0;70442.0;70619.0;70480.0;70486.0;71234.0;71157.0;71189.0;71484.0;71153.0;71022.0;71356.0;70806.0;70914.0;70528.0;70310.0;71022.0;70062.0;1181.0;1164.0;1171.0;1181.0;1164.0;1163.0;1222.0;1197.5;1188.5;1190.0;1172.0;1182.5;1210.0;1204.0;1211.0;1219.0;1210.5;1163.0;1164.0;1147.0;1163.0;1137.0;1135.0;1163.0;1148.0;0.272;0.313;0.281;0.29;0.279;0.297;0.337;6.983;17.565;7.243;2.58;12.368;8.268;17.82;12.377;3.437;13.765;0.259;0.317;0.302;0.298;0.345;0.356;0.309;0.382
10;20;74688.0;75260.0;74540.0;74688.0;75260.0;74070.0;77450.0;73295.0;73209.0;73418.0;72518.0;73256.0;74458.0;74739.0;74542.0;76684.0;74616.0;74070.0;73824.0;73518.0;73634.0;73814.0;72774.0;74070.0;72566.0;668.0;683.0;643.0;668.0;683.0;647.0;716.0;645.0;652.5;656.5;618.0;648.5;672.5;682.5;676.0;763.0;677.0;647.0;633.0;640.0;620.0;649.0;618.0;647.0;641.0;0.363;0.389;0.375;0.362;0.39;0.357;0.444;8.58;19.626;8.97;2.239;11.414;9.17;21.886;9.876;3.05;12.523;0.353;0.451;0.446;0.465;0.519;0.563;0.356;0.98
10;30;78678.0;78426.0;79494.0;78678.0;78426.0;78738.0;83502.0;76211.0;76141.0;76370.0;77388.0;76268.0;77631.0;77637.0;77820.0;79252.0;78099.0;78738.0;79020.0;76432.0;76652.0;76700.0;75518.0;78738.0;76510.0;484.0;488.0;516.0;484.0;488.0;491.0;584.0;477.5;478.5;477.5;508.0;474.0;491.0;490.0;505.0;530.0;506.0;491.0;501.0;466.0;465.0;461.0;449.0;491.0;477.0;0.276;0.286;0.285;0.264;0.329;0.301;0.51;9.854;30.65;10.213;1.954;13.472;10.506;34.65;10.809;2.686;15.209;0.416;0.542;0.545;0.557;0.508;0.714;0.419;1.834
