;;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
F;Ag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;40;85874.0;82836.0;83438.0;85874.0;82836.0;83312.0;89298.0;78922.0;79292.0;79513.0;79890.0;79313.0;81314.0;80818.0;81497.0;80290.0;80868.0;83312.0;80622.0;79960.0;81542.0;79650.0;79924.0;83312.0;82970.0;484.0;413.0;429.0;484.0;413.0;433.0;520.0;388.5;389.5;395.0;422.0;394.0;413.0;406.5;413.0;390.0;407.0;433.0;377.0;382.0;402.0;375.0;399.0;433.0;445.0;506.0;652.0;542.0;506.0;652.0;500.0;1142.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.492628;0.484369;0.468083;0.489841;0.484381;0.483834;0.600394;13.7765665;66.887749;19.828387;2.307085;21.5082035;8.4244175;58.986254;15.010742;2.883947;15.7703135;0.475003;0.531278;0.580939;0.770249;0.801141;0.912625;0.480621;2.884502
10;50;87460.0;89576.0;85948.0;87460.0;89576.0;87042.0;94870.0;81766.0;81865.0;82084.0;80238.0;81747.0;84586.0;84121.0;84788.0;85870.0;84298.0;87042.0;85814.0;82404.0;85482.0;83600.0;82564.0;87042.0;89678.0;387.0;431.0;365.0;387.0;431.0;383.0;500.0;331.0;333.0;334.5;306.0;331.0;368.0;356.0;361.0;368.0;356.0;383.0;364.0;330.0;375.0;341.0;350.0;383.0;425.0;506.0;704.0;542.0;506.0;704.0;500.0;1310.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.308465;0.408629;0.325555;0.29362;0.360116;0.311464;0.604472;14.2893975;86.0416315;22.632982;2.0210855;23.9866015;10.2864045;85.492996;17.7458315;2.544964;18.516211;0.493014;0.642089;0.51784;0.911252;0.656132;1.104573;0.317854;5.512031
2;10;71678.0;71834.0;71454.0;71678.0;71834.0;71630.0;72872.0;70835.0;71098.0;70866.0;70928.0;70989.0;71569.0;71500.0;72066.0;71932.0;71631.0;71630.0;71184.0;71008.0;70992.0;70764.0;70994.0;71630.0;70276.0;1195.0;1189.0;1188.0;1195.0;1189.0;1200.0;1245.0;1187.0;1206.5;1194.0;1179.0;1196.5;1215.5;1206.5;1231.0;1241.0;1209.5;1200.0;1160.0;1157.0;1155.0;1150.0;1161.0;1200.0;1147.0;500.0;542.0;504.0;500.0;542.0;500.0;684.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.186846;0.193751;0.182515;0.193358;0.187434;0.276963;0.194307;25.913434;43.700889;32.0858125;7.7604605;34.162081;32.9370395;43.5191575;43.262873;10.300081;42.9682255;0.274957;0.317687;0.310932;0.300191;0.305894;0.332875;0.208673;0.462698
2;20;75704.0;75796.0;75424.0;75704.0;75796.0;75436.0;75934.0;74627.0;74498.0;75264.0;74176.0;74483.0;75816.0;75708.0;77530.0;75652.0;75683.0;75436.0;74648.0;74428.0;74492.0;74462.0;74192.0;75436.0;72938.0;670.0;686.0;676.0;670.0;686.0;659.0;682.0;667.5;667.5;692.0;663.0;672.5;691.0;687.5;731.5;702.0;694.0;659.0;646.0;664.0;642.0;649.0;677.0;659.0;647.0;500.0;570.0;518.0;500.0;570.0;500.0;822.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.218688;0.221681;0.215901;0.222542;0.237405;0.144875;0.217648;29.8794095;98.4416655;40.493271;3.1859785;41.607398;19.0334505;175.173298;30.594499;4.212921;53.826204;0.213368;0.266166;0.265737;0.26686;0.32005;0.316608;0.210266;0.554976
2;30;80512.0;82326.0;80162.0;80512.0;82326.0;80958.0;84706.0;78341.0;78185.0;79493.0;78568.0;78558.0;80201.0;79990.0;82876.0;79614.0;80827.0;80958.0;78604.0;78080.0;80930.0;77432.0;76694.0;80958.0;78076.0;538.0;572.0;520.0;538.0;572.0;538.0;621.0;494.5;494.0;515.0;510.0;503.0;525.0;524.0;551.0;527.0;531.5;538.0;486.0;489.0;584.0;462.0;459.0;538.0;507.0;504.0;614.0;510.0;504.0;614.0;500.0;1000.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.210731;0.371405;0.243756;0.20956;0.379205;0.218641;0.297364;33.632604;171.143878;48.3738535;1.0844465;51.850115;33.397914;174.658855;55.6997765;1.742002;49.642927;0.21382;0.300984;0.364394;0.345072;0.433022;0.528825;0.214105;1.467791
2;40;85756.0;88324.0;85300.0;85756.0;88324.0;85368.0;91484.0;82550.0;82205.0;86676.0;81980.0;83273.0;85456.0;85174.0;89230.0;81334.0;86987.0;85368.0;83850.0;84298.0;81590.0;82410.0;81706.0;85368.0;86420.0;465.0;509.0;455.0;465.0;509.0;436.0;528.0;413.0;407.5;449.0;416.0;419.0;447.0;445.5;477.5;396.0;459.0;436.0;438.0;446.0;388.0;413.0;402.0;436.0;480.0;504.0;658.0;530.0;504.0;658.0;500.0;1106.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.285643;0.475873;0.213581;0.28505;0.478138;0.243666;0.359127;71.7902;462.3693295;102.119926;0.696176;102.9188845;20.1998415;221.7292405;38.6812645;0.609702;40.0599685;0.24113;0.290944;0.409887;0.31527;0.460289;0.544072;0.243799;2.541144
2;50;90716.0;92124.0;92946.0;90716.0;92124.0;90368.0;102792.0;87095.0;86751.0;91837.0;86412.0;88468.0;92372.0;91630.0;95823.0;85892.0;93794.0;90368.0;89958.0;89062.0;89352.0;88192.0;88250.0;90368.0;93284.0;411.0;422.0;454.0;411.0;422.0;417.0;545.0;370.5;373.5;408.5;382.0;378.5;413.0;406.0;436.0;366.0;417.0;417.0;394.0;394.0;407.0;383.0;399.0;417.0;436.0;510.0;688.0;530.0;510.0;688.0;500.0;1258.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.311138;0.307641;0.284652;0.310427;0.308396;0.273168;0.793887;43.078129;378.5966565;68.9774895;0.607333;114.7796255;21.2856335;279.1276785;40.4237505;0.298549;43.9198795;0.263744;0.406933;0.552121;0.437104;0.64887;0.990924;0.266701;5.254934
5;10;71500.0;71000.0;71574.0;71500.0;71000.0;70650.0;72428.0;70632.0;70653.0;70835.0;70640.0;70699.0;71009.0;71248.0;71313.0;71724.0;71353.0;70650.0;71222.0;71388.0;71092.0;70994.0;70492.0;70650.0;69734.0;1188.0;1167.0;1197.0;1188.0;1167.0;1151.0;1232.0;1187.5;1184.0;1187.5;1192.0;1194.0;1198.5;1214.0;1211.5;1256.0;1211.0;1151.0;1146.0;1160.0;1157.0;1155.0;1144.0;1151.0;1131.0;500.0;514.0;506.0;500.0;514.0;500.0;676.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.349521;0.268594;0.361274;0.28958;0.351754;0.243257;0.357025;21.531237;19.9347635;15.732802;5.5503075;20.4758605;12.5747275;32.34276;21.6226715;6.981271;24.205763;0.341467;0.38351;0.417783;0.414825;0.423243;0.406341;0.339586;0.431488
5;20;74906.0;75622.0;75312.0;74906.0;75622.0;74598.0;77322.0;73723.0;73846.0;73559.0;73444.0;73630.0;74796.0;74832.0;75132.0;74830.0;74384.0;74598.0;74628.0;74300.0;74496.0;73708.0;72700.0;74598.0;73126.0;654.0;680.0;698.0;654.0;680.0;646.0;708.0;658.5;664.0;655.0;664.0;653.5;681.5;686.5;686.5;684.0;679.0;646.0;642.0;651.0;657.0;628.0;611.0;646.0;640.0;504.0;578.0;518.0;504.0;578.0;500.0;866.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.347162;0.369424;0.341983;0.346101;0.369264;0.342474;0.375752;16.390143;45.2656385;22.2103865;4.128349;23.2802575;18.492587;52.378428;17.8826;5.518361;18.4424225;0.261831;0.289826;0.390872;0.297737;0.286974;0.304436;0.34465;0.71575
5;30;77770.0;79224.0;79728.0;77770.0;79224.0;78504.0;82490.0;76328.0;76782.0;76830.0;76680.0;76691.0;78045.0;78178.0;79493.0;78090.0;77780.0;78504.0;78484.0;77592.0;78902.0;77780.0;75380.0;78504.0;77952.0;474.0;513.0;518.0;474.0;513.0;481.0;566.0;473.0;485.0;481.5;471.0;484.5;500.0;505.0;524.0;495.0;497.0;481.0;496.0;488.0;524.0;489.0;441.0;481.0;498.0;502.0;616.0;520.0;502.0;616.0;500.0;1064.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.33337;0.386302;0.367481;0.331789;0.37673;0.336959;0.422052;32.3214785;155.087521;46.185145;2.99944;28.1448635;12.472752;73.2575685;21.1386215;4.299139;23.017852;0.321468;0.488145;0.515234;0.49037;0.606983;0.61511;0.331862;2.173414
5;40;83030.0;83666.0;82918.0;83030.0;83666.0;85252.0;90002.0;79480.0;79518.0;80474.0;80636.0;79654.0;80745.0;81225.0;82600.0;80234.0;81524.0;85252.0;82966.0;79992.0;83028.0;81376.0;79110.0;85252.0;81868.0;411.0;431.0;416.0;411.0;431.0;463.0;518.0;386.5;382.5;399.0;404.0;389.0;402.0;407.0;420.5;394.0;405.0;463.0;439.0;381.0;426.0;391.0;376.0;463.0;428.0;524.0;648.0;540.0;524.0;648.0;500.0;1182.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.395131;0.408775;0.382927;0.393612;0.409867;0.390586;0.519359;27.405942;188.624015;48.562126;2.2695745;58.6400255;13.5603295;112.821485;25.024664;3.208632;26.7375245;0.383783;0.543819;0.602384;0.620804;0.832798;1.048588;0.388051;2.866874
5;50;85434.0;89674.0;87348.0;85434.0;89674.0;89430.0;101964.0;82735.0;82613.0;83904.0;83646.0;82617.0;84840.0;84734.0;87636.0;83468.0;85557.0;89430.0;83168.0;85260.0;85644.0;85388.0;82808.0;89430.0;91024.0;354.0;422.0;376.0;354.0;422.0;413.0;607.0;339.5;340.0;354.0;355.0;336.5;361.0;359.5;382.5;344.0;366.0;413.0;325.0;362.0;365.0;361.0;336.0;413.0;447.0;506.0;716.0;534.0;506.0;716.0;500.0;1304.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.370107;0.519952;0.41235;0.363793;0.52077;0.420623;0.924563;25.18996;167.284394;39.256038;1.8453795;41.3793635;14.9383495;153.6163925;28.856566;2.447178;29.546709;0.411414;0.525253;0.77821;0.683168;0.890039;1.15616;0.414959;4.329317
