;;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
F;Ag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.5;40;120252.0;120364.0;120036.0;120252.0;120364.0;120116.0;124344.0;128514.0;125733.0;134200.0;114608.0;133342.0;114396.0;114217.0;115073.0;110268.0;115157.0;120116.0;119560.0;119560.0;120294.0;119460.0;119460.0;120116.0;119394.0;1082.0;1072.0;1095.0;1082.0;1072.0;1078.0;1081.0;1065.0;1074.5;1071.5;1081.0;1065.0;1067.5;1068.5;1069.0;1079.0;1072.5;1078.0;1092.0;1092.0;1095.0;1080.0;1080.0;1078.0;1062.0;508.0;542.0;506.0;508.0;542.0;500.0;904.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.25043;0.276593;0.25418;0.250765;0.276756;0.257035;0.404315;31.226038;294.0441005;44.486696;0.2687345;75.7785885;28.5082485;288.5737215;28.217211;0.117461;47.981682;0.245528;0.222296;0.228386;0.229057;0.22935;0.229563;0.244893;0.243784
0.5;50;131536.0;131794.0;130020.0;131536.0;131794.0;131254.0;134176.0;142682.0;136621.0;148410.0;127312.0;149696.0;125720.0;125288.0;125940.0;123196.0;125606.0;131254.0;131708.0;130800.0;131708.0;130800.0;130800.0;131254.0;130850.0;1070.0;1076.0;1066.0;1070.0;1076.0;1074.0;1070.0;1067.5;1066.0;1066.0;1092.0;1065.0;1067.5;1066.5;1066.5;1112.0;1062.5;1074.0;1087.0;1062.0;1087.0;1062.0;1062.0;1074.0;1062.0;502.0;596.0;506.0;502.0;596.0;500.0;938.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.274032;0.28941;0.261666;0.275854;0.289428;0.246239;0.383478;38.3243825;379.0192565;58.582336;0.295633;64.50211;23.688135;401.751043;35.652713;0.122101;67.340901;0.244676;0.28909;0.261737;0.289415;0.258891;0.258702;0.234835;0.265222
1;10;72394.0;72202.0;71964.0;72394.0;72202.0;72406.0;73010.0;71482.0;71567.0;71642.0;71564.0;71481.0;72474.0;72452.0;73673.0;71386.0;72480.0;72406.0;72200.0;71700.0;71234.0;71244.0;70866.0;72406.0;70234.0;1214.0;1214.0;1190.0;1214.0;1214.0;1214.0;1249.0;1211.0;1222.0;1211.5;1222.0;1209.5;1237.5;1252.0;1279.0;1209.0;1246.5;1214.0;1205.0;1183.0;1166.0;1166.0;1158.0;1214.0;1162.0;500.0;534.0;502.0;500.0;534.0;500.0;694.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.167982;0.112138;0.167239;0.167853;0.168469;0.161231;0.159567;36.5549565;84.8276985;46.134478;6.351942;51.8990445;43.1673325;120.9206465;59.85174;6.933635;66.853832;0.113061;0.209676;0.213328;0.213655;0.229763;0.221006;0.165016;0.221383
1;20;77156.0;78222.0;78450.0;77156.0;78222.0;77958.0;80342.0;78047.0;77722.0;80183.0;77780.0;78091.0;80159.0;79688.0;81555.0;76950.0;79760.0;77958.0;77552.0;75924.0;77262.0;75186.0;75526.0;77958.0;75034.0;713.0;715.0;752.0;713.0;715.0;741.0;770.0;718.0;718.5;759.5;747.0;727.0;765.5;761.5;793.5;702.0;762.0;741.0;723.0;673.0;718.0;652.0;673.0;741.0;674.0;508.0;568.0;510.0;508.0;568.0;500.0;820.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.115226;0.141868;0.142499;0.118858;0.1402;0.131145;0.181974;43.4804;155.2114085;56.2937235;0.4933735;62.513451;34.766719;271.953859;56.0301715;0.528175;62.0205515;0.125073;0.137557;0.157589;0.168546;0.174086;0.182861;0.125864;0.364032
1;30;86286.0;87770.0;86708.0;86286.0;87770.0;86402.0;97378.0;87281.0;86666.0;90604.0;86374.0;88307.0;90611.0;89925.0;92325.0;83956.0;91022.0;86402.0;87292.0;87130.0;87110.0;87962.0;86744.0;86402.0;87468.0;594.0;605.0;598.0;594.0;605.0;588.0;765.0;591.0;582.5;633.5;583.0;605.0;635.0;625.5;660.5;577.0;636.5;588.0;599.0;602.0;594.0;624.0;594.0;588.0;599.0;504.0;578.0;516.0;504.0;578.0;500.0;1014.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.201923;0.169818;0.146318;0.203083;0.167721;0.223372;0.356245;46.1743855;206.0867315;70.884752;0.492068;66.4105275;31.212441;312.927902;54.183332;0.174547;57.1662115;0.214762;0.297581;0.295069;0.259393;0.431704;0.497846;0.214746;1.83853
1;40;101366.0;104086.0;100890.0;101366.0;104086.0;100850.0;107448.0;99691.0;97228.0;102010.0;94130.0;101713.0;98459.0;98034.0;98904.0;90638.0;98699.0;100850.0;100618.0;101912.0;101676.0;102448.0;103120.0;100850.0;102384.0;612.0;662.0;610.0;612.0;662.0;614.0;702.0;580.0;580.0;574.0;584.0;584.0;589.0;590.0;588.5;598.0;587.0;614.0;607.0;601.0;630.0;629.0;625.0;614.0;609.0;506.0;644.0;522.0;506.0;644.0;500.0;1008.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.260884;0.367006;0.330296;0.262415;0.363393;0.321439;0.371332;80.316598;260.5192165;63.7972315;0.4898175;65.7675205;21.057108;307.9880775;29.379672;0.161765;49.2060545;0.317509;0.395192;0.355339;0.437798;0.554612;1.308516;0.319744;1.447765
1;50;110476.0;112204.0;110958.0;110476.0;112204.0;110638.0;119080.0;108778.0;105689.0;115446.0;100316.0;114679.0;103463.0;103135.0;104533.0;97188.0;103742.0;110638.0;110650.0;110938.0;111720.0;112362.0;112362.0;110638.0;111396.0;614.0;659.0;626.0;614.0;659.0;624.0;752.0;579.0;582.5;577.0;583.0;580.5;581.5;578.5;587.0;585.0;578.5;624.0;628.0;614.0;613.0;617.0;617.0;624.0;612.0;506.0;624.0;528.0;506.0;624.0;500.0;994.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.405002;0.382656;0.403429;0.400617;0.382896;0.38269;0.396834;68.893469;781.39871;133.111745;0.453304;79.30893;23.61922;316.0168635;39.253093;0.175164;44.713315;0.373901;0.335115;0.392339;0.44152;0.436805;0.444632;0.371877;0.451328
10;10;71054.0;70814.0;71184.0;71054.0;70814.0;71022.0;72136.0;70339.0;70649.0;70477.0;70480.0;70563.0;71138.0;71186.0;71291.0;71484.0;71050.0;71022.0;71356.0;70806.0;70914.0;70528.0;70310.0;71022.0;69468.0;1181.0;1164.0;1171.0;1181.0;1164.0;1163.0;1222.0;1171.5;1184.5;1182.0;1172.0;1183.0;1198.5;1214.0;1200.5;1219.0;1201.0;1163.0;1164.0;1147.0;1163.0;1137.0;1135.0;1163.0;1121.0;500.0;526.0;508.0;500.0;526.0;500.0;696.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.371744;0.371923;0.372984;0.372493;0.371468;0.37647;0.390509;7.1886715;10.4763425;8.600103;3.3225765;14.9986875;8.5799705;16.8330815;11.7913145;4.169498;12.9093575;0.253104;0.423258;0.413388;0.423875;0.439047;0.391504;0.368745;0.37957
10;20;74688.0;75260.0;74540.0;74688.0;75260.0;74070.0;78062.0;73537.0;73367.0;73660.0;72518.0;73279.0;74572.0;74655.0;74740.0;76684.0;74626.0;74070.0;73824.0;73518.0;73634.0;73868.0;72376.0;74070.0;71710.0;668.0;683.0;643.0;668.0;683.0;647.0;736.0;657.5;651.0;667.0;618.0;651.5;682.0;674.0;680.5;763.0;675.0;647.0;633.0;640.0;620.0;653.0;609.0;647.0;600.0;506.0;572.0;514.0;506.0;572.0;500.0;882.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.380055;0.405831;0.393911;0.379582;0.412742;0.375738;0.48136;9.2048465;23.781313;12.5656975;2.8891075;13.1992405;10.878826;26.9350935;15.4636485;3.748678;17.232263;0.360402;0.460267;0.465523;0.475283;0.549138;0.53407;0.37398;0.766947
10;30;78678.0;78426.0;79494.0;78678.0;78426.0;78738.0;82528.0;76160.0;76207.0;76077.0;77388.0;76070.0;77762.0;77294.0;78043.0;79252.0;77753.0;78738.0;79020.0;76432.0;76652.0;77822.0;75140.0;78738.0;75968.0;484.0;488.0;516.0;484.0;488.0;491.0;579.0;477.0;473.0;471.0;508.0;474.5;496.0;484.0;503.5;530.0;494.0;491.0;501.0;466.0;465.0;505.0;442.0;491.0;451.0;504.0;608.0;520.0;504.0;608.0;500.0;996.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.390107;0.425112;0.408044;0.389043;0.426975;0.424224;0.555334;18.4695465;79.89172;26.272763;3.0776095;27.4280515;7.5793435;38.2547645;12.461437;3.269818;13.190304;0.416579;0.538141;0.555165;0.549765;0.5576;0.642565;0.420438;1.650792
