;;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
Frenq.;Agentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;20;0.943159277;0.951092117;0.976537025;0.943159277;0.951092117;0.966332258;1.0;0.966332258;0.952117247;0.909518028;0.94706571;0.891288799;0.907041117;0.966332258;0.904628557;508.0;568.0;510.0;508.0;568.0;500.0;820.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.115226;0.141868;0.142499;0.118858;0.1402;0.131145;0.181974;0.125073;0.137557;0.157589;0.168546;0.174086;0.182861;0.125864;0.364032
1;30;0.831281978;0.846091312;0.836063171;0.831281978;0.846091312;0.827956027;1.0;0.827956027;0.83971539;0.840844364;0.835512913;0.859495461;0.833633639;0.827956027;0.840619085;504.0;578.0;516.0;504.0;578.0;500.0;1014.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.201923;0.169818;0.146318;0.203083;0.167721;0.223372;0.356245;0.214762;0.297581;0.295069;0.259393;0.431704;0.497846;0.214746;1.83853
1;40;0.907595374;0.955865195;0.903955847;0.907595374;0.955865195;0.906618713;1.0;0.906618713;0.900553366;0.90230138;0.921858445;0.924738629;0.92501672;0.906618713;0.910195797;506.0;644.0;522.0;506.0;644.0;500.0;1008.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.260884;0.367006;0.330296;0.262415;0.363393;0.321439;0.371332;0.317509;0.395192;0.355339;0.437798;0.554612;1.308516;0.319744;1.447765
1;50;0.872117707;0.909293547;0.88212028;0.872117707;0.909293547;0.879446859;1.0;0.879446859;0.882156819;0.87405758;0.876676193;0.882031434;0.882031434;0.879446859;0.874650869;506.0;624.0;528.0;506.0;624.0;500.0;994.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.405002;0.382656;0.403429;0.400617;0.382896;0.38269;0.396834;0.373901;0.335115;0.392339;0.44152;0.436805;0.444632;0.371877;0.451328
10;10;0.9757245;0.967105165;0.972533923;0.9757245;0.967105165;0.968137721;1.0;0.968137721;0.970861958;0.960093904;0.967389135;0.954075335;0.95174597;0.968137721;0.940181458;500.0;526.0;508.0;500.0;526.0;500.0;696.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.371744;0.371923;0.372984;0.372493;0.371468;0.37647;0.390509;0.253104;0.423258;0.413388;0.423875;0.439047;0.391504;0.368745;0.37957
10;20;0.932193321;0.946047293;0.914261661;0.932193321;0.946047293;0.913968624;1.0;0.913968624;0.902882084;0.905677538;0.892833581;0.916750868;0.877303057;0.913968624;0.866923087;506.0;572.0;514.0;506.0;572.0;500.0;882.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.380055;0.405831;0.393911;0.379582;0.412742;0.375738;0.48136;0.360402;0.460267;0.465523;0.475283;0.549138;0.53407;0.37398;0.766947
10;30;0.894636587;0.896564064;0.927214215;0.894636587;0.896564064;0.901045005;1.0;0.901045005;0.911389094;0.865485042;0.865954365;0.907585183;0.836932007;0.901045005;0.849720507;504.0;608.0;520.0;504.0;608.0;500.0;996.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.390107;0.425112;0.408044;0.389043;0.426975;0.424224;0.555334;0.416579;0.538141;0.555165;0.549765;0.5576;0.642565;0.420438;1.650792
10;40;0.946212853;0.860933163;0.879688515;0.946212853;0.860933163;0.882829166;1.0;0.882829166;0.813921084;0.815022087;0.843110837;0.806555556;0.831166668;0.882829166;0.892452691;506.0;652.0;542.0;506.0;652.0;500.0;1142.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.492628;0.484369;0.468083;0.489841;0.484381;0.483834;0.600394;0.475003;0.531278;0.580939;0.770249;0.801141;0.912625;0.480621;2.884502
10;50;0.847946558;0.903098661;0.817977759;0.847946558;0.903098661;0.841743544;1.0;0.841743544;0.816271529;0.764299568;0.825521767;0.78160293;0.785142827;0.841743544;0.897636239;506.0;704.0;542.0;506.0;704.0;500.0;1310.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.308465;0.408629;0.325555;0.29362;0.360116;0.311464;0.604472;0.493014;0.642089;0.51784;0.911252;0.656132;1.104573;0.317854;5.512031
2;10;0.971727232;0.970387963;0.967379045;0.971727232;0.970387963;0.973405919;1.0;0.973405919;0.954281502;0.951869086;0.950956091;0.947383672;0.953379453;0.973405919;0.942830516;500.0;542.0;504.0;500.0;542.0;500.0;684.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.186846;0.193751;0.182515;0.193358;0.187434;0.276963;0.194307;0.274957;0.317687;0.310932;0.300191;0.305894;0.332875;0.208673;0.462698
2;20;0.986823719;0.999091316;0.989353191;0.986823719;0.999091316;0.977041536;0.997084548;0.977041536;0.962377601;0.974048508;0.958434941;0.963339442;0.981969746;0.977041536;0.951846686;500.0;570.0;518.0;500.0;570.0;500.0;822.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.218688;0.221681;0.215901;0.222542;0.237405;0.144875;0.217648;0.213368;0.266166;0.265737;0.26686;0.32005;0.316608;0.210266;0.554976
2;30;0.908416087;0.946498912;0.891857364;0.908416087;0.946498912;0.911048722;1.0;0.911048722;0.855285648;0.854608056;0.947920482;0.82904393;0.822272228;0.911048722;0.869077198;504.0;614.0;510.0;504.0;614.0;500.0;1000.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.210731;0.371405;0.243756;0.20956;0.379205;0.218641;0.297364;0.21382;0.300984;0.364394;0.345072;0.433022;0.528825;0.214105;1.467791
2;40;0.909034888;0.964736796;0.897072952;0.909034888;0.964736796;0.879452178;1.0;0.879452178;0.873049584;0.883073858;0.813349213;0.841505113;0.827240779;0.879452178;0.926868484;504.0;658.0;530.0;504.0;658.0;500.0;1106.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.285643;0.475873;0.213581;0.28505;0.478138;0.243666;0.359127;0.24113;0.290944;0.409887;0.31527;0.460289;0.544072;0.243799;2.541144
2;50;0.81832424;0.835264766;0.868620929;0.81832424;0.835264766;0.822136089;1.0;0.822136089;0.799040853;0.794682537;0.808019758;0.780358947;0.795319969;0.822136089;0.853751265;510.0;688.0;530.0;510.0;688.0;500.0;1258.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.311138;0.307641;0.284652;0.310427;0.308396;0.273168;0.793887;0.263744;0.406933;0.552121;0.437104;0.64887;0.990924;0.266701;5.254934
5;10;0.975736495;0.963762064;0.979899945;0.975736495;0.963762064;0.954852365;1.0;0.954852365;0.956771893;0.963599677;0.960338736;0.958850514;0.950920717;0.954852365;0.94041196;500.0;514.0;506.0;500.0;514.0;500.0;676.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.349521;0.268594;0.361274;0.28958;0.351754;0.243257;0.357025;0.341467;0.38351;0.417783;0.414825;0.423243;0.406341;0.339586;0.431488
5;20;0.946241428;0.969232998;0.979940259;0.946241428;0.969232998;0.938600039;1.0;0.938600039;0.935969174;0.940204106;0.945708821;0.920133021;0.901609174;0.938600039;0.924844114;504.0;578.0;518.0;504.0;578.0;500.0;866.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.347162;0.369424;0.341983;0.346101;0.369264;0.342474;0.375752;0.261831;0.289826;0.390872;0.297737;0.286974;0.304436;0.34465;0.71575
5;30;0.890118387;0.933383873;0.94085575;0.890118387;0.933383873;0.900751156;1.0;0.900751156;0.913880813;0.901406959;0.941149436;0.903429884;0.846479839;0.900751156;0.912422964;502.0;616.0;520.0;502.0;616.0;500.0;1064.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.33337;0.386302;0.367481;0.331789;0.37673;0.336959;0.422052;0.321468;0.488145;0.515234;0.49037;0.606983;0.61511;0.331862;2.173414
5;40;0.857985674;0.880823948;0.862189721;0.857985674;0.880823948;0.920522894;1.0;0.920522894;0.884657153;0.812150742;0.872453328;0.82949197;0.802424596;0.920522894;0.867939528;524.0;648.0;540.0;524.0;648.0;500.0;1182.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.395131;0.408775;0.382927;0.393612;0.409867;0.390586;0.519359;0.383783;0.543819;0.602384;0.620804;0.832798;1.048588;0.388051;2.866874
5;50;0.710540003;0.787344834;0.738047579;0.710540003;0.787344834;0.778734824;1.0;0.778734824;0.675540264;0.716276546;0.720630733;0.716080495;0.682835891;0.778734824;0.814557898;506.0;716.0;534.0;506.0;716.0;500.0;1304.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.370107;0.519952;0.41235;0.363793;0.52077;0.420623;0.924563;0.411414;0.525253;0.77821;0.683168;0.890039;1.15616;0.414959;4.329317
