;;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;eq;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);GAT(CHECK);GAT(COLL);GAT(COUNT);GAT(GREEDY);GAT(TASK);GATP(CHECK);GATP(COLL);GATP(COUNT);GATP(GREEDY);GATP(TASK);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
Frenq.;Agentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.5;40;0.924182537;0.920030663;0.929327375;0.924182537;0.920030663;0.92187307;0.938409407;0.947865928;0.939311128;0.971327788;0.903476288;0.962702352;0.895753906;0.895790813;0.899341021;0.886993465;0.901914362;0.92187307;0.92625335;0.92625335;0.930253089;0.920430066;0.920430066;0.92187307;0.911996534;508.0;542.0;506.0;508.0;542.0;500.0;904.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.25043;0.276593;0.25418;0.250765;0.276756;0.257035;0.404315;31.226038;294.0441005;44.486696;0.2687345;75.7785885;28.5082485;288.5737215;28.217211;0.117461;47.981682;0.245528;0.222296;0.228386;0.229057;0.22935;0.229563;0.244893;0.243784
0.5;50;0.897911691;0.901427054;0.891309398;0.897911691;0.901427054;0.898816682;0.906277028;0.930625576;0.91433798;0.950102999;0.894419238;0.953483955;0.878336318;0.876695878;0.878621814;0.890369723;0.875622633;0.898816682;0.90610059;0.891982414;0.90610059;0.891982414;0.891982414;0.898816682;0.892140848;502.0;596.0;506.0;502.0;596.0;500.0;938.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.274032;0.28941;0.261666;0.275854;0.289428;0.246239;0.383478;38.3243825;379.0192565;58.582336;0.295633;64.50211;23.688135;401.751043;35.652713;0.122101;67.340901;0.244676;0.28909;0.261737;0.289415;0.258891;0.258702;0.234835;0.265222
1;10;0.916444934;0.915180945;0.904918472;0.916444934;0.915180945;0.916523934;0.933181393;0.909130196;0.913056454;0.909336973;0.913879364;0.908550868;0.925923997;0.93214925;0.948233797;0.907997395;0.928391462;0.916523934;0.911906909;0.900644255;0.891417027;0.89148286;0.88609583;0.916523934;0.883384473;500.0;534.0;502.0;500.0;534.0;500.0;694.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.167982;0.112138;0.167239;0.167853;0.168469;0.161231;0.159567;36.5549565;84.8276985;46.134478;6.351942;51.8990445;43.1673325;120.9206465;59.85174;6.933635;66.853832;0.113061;0.209676;0.213328;0.213655;0.229763;0.221006;0.165016;0.221383
1;20;0.858408634;0.865772028;0.888293234;0.858408634;0.865772028;0.87912331;0.909638443;0.866581965;0.863236915;0.901811206;0.881521472;0.871449127;0.90711362;0.900193529;0.93017314;0.850906933;0.902495324;0.87912331;0.866445857;0.828312939;0.861890614;0.811980734;0.825991427;0.87912331;0.823694356;508.0;568.0;510.0;508.0;568.0;500.0;820.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.115226;0.141868;0.142499;0.118858;0.1402;0.131145;0.181974;43.4804;155.2114085;56.2937235;0.4933735;62.513451;34.766719;271.953859;56.0301715;0.528175;62.0205515;0.125073;0.137557;0.157589;0.168546;0.174086;0.182861;0.125864;0.364032
1;30;0.831281978;0.846091312;0.836063171;0.831281978;0.846091312;0.827956027;1.0;0.834375489;0.82660327;0.881180064;0.824544283;0.847605383;0.878980946;0.870320758;0.905004405;0.808207179;0.884195267;0.827956027;0.83971539;0.840844364;0.835512913;0.859495461;0.833633639;0.827956027;0.840619085;504.0;578.0;516.0;504.0;578.0;500.0;1014.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.201923;0.169818;0.146318;0.203083;0.167721;0.223372;0.356245;46.1743855;206.0867315;70.884752;0.492068;66.4105275;31.212441;312.927902;54.183332;0.174547;57.1662115;0.214762;0.297581;0.295069;0.259393;0.431704;0.497846;0.214746;1.83853
1;40;0.907595374;0.955865195;0.903955847;0.907595374;0.955865195;0.906618713;1.0;0.877548679;0.864948905;0.884164163;0.853980252;0.889204128;0.877155923;0.877105013;0.879366016;0.847702041;0.875956694;0.906618713;0.900553366;0.90230138;0.921858445;0.924738629;0.92501672;0.906618713;0.910195797;506.0;644.0;522.0;506.0;644.0;500.0;1008.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.260884;0.367006;0.330296;0.262415;0.363393;0.321439;0.371332;80.316598;260.5192165;63.7972315;0.4898175;65.7675205;21.057108;307.9880775;29.379672;0.161765;49.2060545;0.317509;0.395192;0.355339;0.437798;0.554612;1.308516;0.319744;1.447765
1;50;0.872117707;0.909293547;0.88212028;0.872117707;0.909293547;0.879446859;1.0;0.842736802;0.829446457;0.867436763;0.808845609;0.8689004;0.821928513;0.818641321;0.829004772;0.797041369;0.820098101;0.879446859;0.882156819;0.87405758;0.876676193;0.882031434;0.882031434;0.879446859;0.874650869;506.0;624.0;528.0;506.0;624.0;500.0;994.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.405002;0.382656;0.403429;0.400617;0.382896;0.38269;0.396834;68.893469;781.39871;133.111745;0.453304;79.30893;23.61922;316.0168635;39.253093;0.175164;44.713315;0.373901;0.335115;0.392339;0.44152;0.436805;0.444632;0.371877;0.451328
10;10;0.938176018;0.930025919;0.935236776;0.938176018;0.930025919;0.931065857;0.961274028;0.929250973;0.937860316;0.934988429;0.930804039;0.935083775;0.945176839;0.951610333;0.947844145;0.955665595;0.945900866;0.931065857;0.933733372;0.923462774;0.930327103;0.917732681;0.915475795;0.931065857;0.904356368;500.0;526.0;508.0;500.0;526.0;500.0;696.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.371744;0.371923;0.372984;0.372493;0.371468;0.37647;0.390509;7.1886715;10.4763425;8.600103;3.3225765;14.9986875;8.5799705;16.8330815;11.7913145;4.169498;12.9093575;0.253104;0.423258;0.413388;0.423875;0.439047;0.391504;0.368745;0.37957
10;20;0.866323513;0.879029592;0.850063641;0.866323513;0.879029592;0.84965108;0.928692355;0.851930687;0.846759705;0.859274115;0.822362149;0.847048514;0.874400353;0.867056925;0.875621234;0.936863807;0.872076365;0.84965108;0.83954963;0.841981116;0.830404336;0.852103282;0.815966919;0.84965108;0.806372431;506.0;572.0;514.0;506.0;572.0;500.0;882.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.380055;0.405831;0.393911;0.379582;0.412742;0.375738;0.48136;9.2048465;23.781313;12.5656975;2.8891075;13.1992405;10.878826;26.9350935;15.4636485;3.748678;17.232263;0.360402;0.460267;0.465523;0.475283;0.549138;0.53407;0.37398;0.766947
10;30;0.883876209;0.88583815;0.916342237;0.883876209;0.88583815;0.890276421;0.988713078;0.860954216;0.860194908;0.857247394;0.896962495;0.860678449;0.889300134;0.875859134;0.896202164;0.926998975;0.886082263;0.890276421;0.900581943;0.855031838;0.855471073;0.896941876;0.826655503;0.890276421;0.839330762;504.0;608.0;520.0;504.0;608.0;500.0;996.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.390107;0.425112;0.408044;0.389043;0.426975;0.424224;0.555334;18.4695465;79.89172;26.272763;3.0776095;27.4280515;7.5793435;38.2547645;12.461437;3.269818;13.190304;0.416579;0.538141;0.555165;0.549765;0.5576;0.642565;0.420438;1.650792
10;40;0.946212853;0.860933163;0.879688515;0.946212853;0.860933163;0.882829166;1.0;0.817425416;0.818795698;0.825203241;0.853091679;0.822445115;0.853372674;0.843014369;0.853161433;0.82456214;0.84344551;0.882829166;0.813921084;0.815022087;0.843110837;0.806555556;0.831166668;0.882829166;0.892452691;506.0;652.0;542.0;506.0;652.0;500.0;1142.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.492628;0.484369;0.468083;0.489841;0.484381;0.483834;0.600394;13.7765665;66.887749;19.828387;2.307085;21.5082035;8.4244175;58.986254;15.010742;2.883947;15.7703135;0.475003;0.531278;0.580939;0.770249;0.801141;0.912625;0.480621;2.884502
