;;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Energia;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;Makespan;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;tasks;time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
Token;;BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1);BTT(0.3:0.3);BTT(0.3:0.8);BTT(0.5:0.5);BTT(0.8:0.3);BTT(0.8:0.8);BTT(0:0);BTT(1:1);TP;TTP(0.3:0.3);TTP(0.3:0.8);TTP(0.5:0.5);TTP(0.8:0.3);TTP(0.8:0.8);TTP(0:0);TTP(1:1)
F;Ag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.5;40;120252.0;120252.0;120036.0;120252.0;120252.0;120116.0;124950.0;120116.0;119208.0;119208.0;121106.0;120216.0;120216.0;120116.0;120478.0;1082.0;1074.0;1095.0;1082.0;1074.0;1078.0;1092.0;1078.0;1072.0;1072.0;1094.0;1097.0;1097.0;1078.0;1097.0;508.0;546.0;506.0;508.0;546.0;500.0;914.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.146;0.173;0.171;0.161;0.23;0.16;0.244;0.261;0.134;0.187;0.156;0.203;0.123;0.207;0.197
0.5;50;131536.0;131794.0;130020.0;131536.0;131794.0;131254.0;134796.0;131254.0;131708.0;132618.0;132704.0;131904.0;132618.0;131254.0;132412.0;1070.0;1076.0;1066.0;1070.0;1076.0;1074.0;1085.0;1074.0;1087.0;1093.0;1092.0;1079.0;1093.0;1074.0;1095.0;502.0;596.0;506.0;502.0;596.0;500.0;940.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.179;0.18;0.156;0.18;0.19;0.15;0.341;0.245;0.277;0.181;0.289;0.182;0.294;0.224;0.257
1;10;72394.0;72202.0;71964.0;72394.0;72202.0;72406.0;73010.0;72406.0;72200.0;71700.0;71234.0;71080.0;70866.0;72406.0;70234.0;1214.0;1214.0;1190.0;1214.0;1214.0;1214.0;1249.0;1214.0;1205.0;1183.0;1166.0;1152.0;1158.0;1214.0;1162.0;500.0;534.0;502.0;500.0;534.0;500.0;694.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.168;0.168;0.167;0.168;0.169;0.167;0.161;0.118;0.182;0.21;0.196;0.23;0.18;0.166;0.179
1;20;77156.0;78222.0;78450.0;77156.0;78222.0;77958.0;80342.0;77958.0;77552.0;75924.0;77262.0;75186.0;75526.0;77958.0;75990.0;713.0;715.0;752.0;713.0;715.0;741.0;770.0;741.0;723.0;673.0;718.0;652.0;673.0;741.0;717.0;508.0;568.0;510.0;508.0;568.0;500.0;820.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.115;0.139;0.145;0.113;0.142;0.129;0.184;0.128;0.138;0.155;0.167;0.176;0.181;0.13;0.522
1;30;86286.0;87770.0;86708.0;86286.0;87770.0;86402.0;97378.0;86402.0;87292.0;87130.0;87110.0;86588.0;86690.0;86402.0;87506.0;594.0;605.0;598.0;594.0;605.0;588.0;765.0;588.0;599.0;602.0;594.0;592.0;590.0;588.0;608.0;504.0;578.0;516.0;504.0;578.0;500.0;1014.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.173;0.11;0.117;0.193;0.168;0.146;0.371;0.139;0.199;0.191;0.244;0.269;0.503;0.148;1.28
1;40;101366.0;104086.0;100890.0;101366.0;104086.0;100850.0;106828.0;100850.0;101886.0;101322.0;102320.0;101412.0;101042.0;100850.0;100216.0;612.0;662.0;610.0;612.0;662.0;614.0;691.0;614.0;624.0;595.0;614.0;595.0;603.0;614.0;596.0;506.0;644.0;522.0;506.0;644.0;500.0;1018.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.262;0.365;0.334;0.259;0.365;0.323;0.388;0.201;0.368;0.483;0.441;0.737;0.75;0.321;1.399
1;50;110476.0;111356.0;110958.0;110476.0;111356.0;110638.0;117494.0;110638.0;109810.0;109538.0;110160.0;112262.0;111810.0;110638.0;109946.0;614.0;632.0;626.0;614.0;632.0;624.0;725.0;624.0;597.0;592.0;614.0;626.0;614.0;624.0;599.0;506.0;634.0;528.0;506.0;634.0;500.0;990.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.408;0.475;0.391;0.408;0.468;0.391;0.395;0.363;0.341;0.369;0.249;0.45;0.418;0.375;0.332
10;10;71054.0;70814.0;71184.0;71054.0;70814.0;71022.0;72136.0;71022.0;71356.0;70806.0;70914.0;70528.0;70310.0;71022.0;70062.0;1181.0;1164.0;1171.0;1181.0;1164.0;1163.0;1222.0;1163.0;1164.0;1147.0;1163.0;1137.0;1135.0;1163.0;1148.0;500.0;526.0;508.0;500.0;526.0;500.0;696.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.272;0.313;0.281;0.29;0.279;0.297;0.337;0.259;0.317;0.302;0.298;0.345;0.356;0.309;0.382
10;20;74688.0;75260.0;74540.0;74688.0;75260.0;74070.0;77450.0;74070.0;73824.0;73518.0;73634.0;73814.0;72774.0;74070.0;72566.0;668.0;683.0;643.0;668.0;683.0;647.0;716.0;647.0;633.0;640.0;620.0;649.0;618.0;647.0;641.0;506.0;572.0;514.0;506.0;572.0;500.0;864.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.363;0.389;0.375;0.362;0.39;0.357;0.444;0.353;0.451;0.446;0.465;0.519;0.563;0.356;0.98
10;30;78678.0;78426.0;79494.0;78678.0;78426.0;78738.0;83502.0;78738.0;79020.0;76432.0;76652.0;76700.0;75518.0;78738.0;76510.0;484.0;488.0;516.0;484.0;488.0;491.0;584.0;491.0;501.0;466.0;465.0;461.0;449.0;491.0;477.0;504.0;608.0;520.0;504.0;608.0;500.0;1054.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.276;0.286;0.285;0.264;0.329;0.301;0.51;0.416;0.542;0.545;0.557;0.508;0.714;0.419;1.834
10;40;85874.0;82836.0;83438.0;85874.0;82836.0;83312.0;90344.0;83312.0;80622.0;80068.0;81734.0;79954.0;79254.0;83312.0;84038.0;484.0;413.0;429.0;484.0;413.0;433.0;534.0;433.0;377.0;394.0;417.0;378.0;383.0;433.0;470.0;506.0;650.0;542.0;506.0;650.0;500.0;1114.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.465;0.482;0.313;0.496;0.34;0.498;0.439;0.462;0.519;0.529;0.666;0.605;0.996;0.348;3.989
10;50;87460.0;89576.0;85948.0;87460.0;89576.0;87042.0;100160.0;87042.0;85814.0;82442.0;83378.0;84140.0;82268.0;87042.0;86008.0;387.0;431.0;365.0;387.0;431.0;383.0;559.0;383.0;364.0;332.0;339.0;345.0;334.0;383.0;384.0;506.0;704.0;542.0;506.0;704.0;500.0;1260.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.294;0.438;0.338;0.323;0.391;0.323;0.557;0.324;0.481;0.525;0.513;0.587;0.959;0.355;2.61
2;10;71678.0;71834.0;71454.0;71678.0;71834.0;71630.0;72872.0;71630.0;71184.0;71008.0;70992.0;70764.0;70994.0;71630.0;70104.0;1195.0;1189.0;1188.0;1195.0;1189.0;1200.0;1245.0;1200.0;1160.0;1157.0;1155.0;1150.0;1161.0;1200.0;1142.0;500.0;542.0;504.0;500.0;542.0;500.0;684.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.213;0.278;0.199;0.209;0.212;0.279;0.213;0.265;0.277;0.236;0.221;0.221;0.253;0.199;0.293
2;20;75704.0;75796.0;75424.0;75704.0;75796.0;75436.0;77518.0;75436.0;74648.0;74428.0;74492.0;74462.0;74188.0;75436.0;72810.0;670.0;686.0;676.0;670.0;686.0;659.0;733.0;659.0;646.0;664.0;642.0;649.0;677.0;659.0;629.0;500.0;570.0;518.0;500.0;570.0;500.0;802.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.216;0.197;0.179;0.216;0.178;0.151;0.208;0.216;0.275;0.272;0.276;0.324;0.332;0.217;0.495
2;30;80512.0;82326.0;80162.0;80512.0;82326.0;80958.0;84706.0;80958.0;78604.0;78080.0;78466.0;77444.0;76706.0;80958.0;77046.0;538.0;572.0;520.0;538.0;572.0;538.0;621.0;538.0;486.0;489.0;505.0;462.0;459.0;538.0;481.0;504.0;614.0;510.0;504.0;614.0;500.0;1000.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.167;0.247;0.17;0.193;0.241;0.137;0.217;0.146;0.245;0.23;0.24;0.276;0.37;0.154;0.948
2;40;85756.0;88376.0;85300.0;85756.0;88376.0;85368.0;95054.0;85368.0;84700.0;83030.0;82802.0;83988.0;82080.0;85368.0;85312.0;465.0;509.0;455.0;465.0;509.0;436.0;595.0;436.0;466.0;420.0;418.0;433.0;416.0;436.0;472.0;504.0;660.0;530.0;504.0;660.0;500.0;1130.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.25;0.35;0.162;0.234;0.287;0.184;0.317;0.247;0.256;0.381;0.363;0.436;0.678;0.241;2.615
2;50;90716.0;92124.0;92946.0;90716.0;92124.0;90368.0;100778.0;90368.0;87992.0;89160.0;88840.0;87352.0;86934.0;90368.0;92830.0;411.0;422.0;454.0;411.0;422.0;417.0;533.0;417.0;372.0;389.0;389.0;375.0;379.0;417.0;433.0;510.0;688.0;530.0;510.0;688.0;500.0;1304.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.227;0.207;0.2;0.241;0.21;0.172;0.294;0.268;0.238;0.43;0.294;0.422;0.558;0.191;3.23
5;10;71500.0;71000.0;71574.0;71500.0;71000.0;70650.0;72428.0;70650.0;71222.0;71388.0;71092.0;70994.0;70492.0;70650.0;69802.0;1188.0;1167.0;1197.0;1188.0;1167.0;1151.0;1232.0;1151.0;1146.0;1160.0;1157.0;1155.0;1144.0;1151.0;1135.0;500.0;514.0;506.0;500.0;514.0;500.0;676.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.269;0.264;0.275;0.297;0.263;0.247;0.259;0.279;0.287;0.307;0.303;0.309;0.31;0.257;0.355
5;20;74906.0;75622.0;75312.0;74906.0;75622.0;74598.0;77292.0;74598.0;74628.0;74300.0;74496.0;73732.0;72848.0;74598.0;72466.0;654.0;680.0;698.0;654.0;680.0;646.0;708.0;646.0;642.0;651.0;657.0;628.0;617.0;646.0;637.0;504.0;578.0;518.0;504.0;578.0;500.0;870.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.342;0.366;0.339;0.343;0.364;0.341;0.367;0.278;0.385;0.339;0.431;0.334;0.432;0.29;0.633
5;30;77770.0;79224.0;79728.0;77770.0;79224.0;78504.0;82346.0;78504.0;78484.0;77500.0;78902.0;77764.0;75428.0;78504.0;76316.0;474.0;513.0;518.0;474.0;513.0;481.0;559.0;481.0;496.0;488.0;524.0;489.0;443.0;481.0;479.0;502.0;616.0;520.0;502.0;616.0;500.0;1048.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.326;0.385;0.335;0.328;0.253;0.33;0.399;0.312;0.49;0.515;0.493;0.601;0.625;0.325;1.646
5;40;83030.0;84896.0;82918.0;83030.0;84896.0;85252.0;90482.0;85252.0;81384.0;80412.0;80508.0;80614.0;79380.0;85252.0;84266.0;411.0;452.0;416.0;411.0;452.0;463.0;506.0;463.0;400.0;388.0;377.0;387.0;399.0;463.0;485.0;524.0;662.0;540.0;524.0;662.0;500.0;1122.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.31;0.342;0.275;0.406;0.328;0.286;0.355;0.249;0.507;0.639;0.602;0.683;0.633;0.269;1.719
5;50;85434.0;89674.0;87348.0;85434.0;89674.0;89430.0;99884.0;89430.0;85082.0;84046.0;83338.0;86082.0;83138.0;89430.0;90514.0;354.0;422.0;376.0;354.0;422.0;413.0;555.0;413.0;343.0;348.0;325.0;378.0;341.0;413.0;453.0;506.0;716.0;534.0;506.0;716.0;500.0;1282.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;0.234;0.328;0.264;0.257;0.339;0.285;0.524;0.362;0.468;0.474;0.641;0.524;0.795;0.275;3.584
